600, 462, 248, 214, 0.54
1200, 462, 272, 190, 0.59
1800, 462, 294, 168, 0.64
2400, 462, 309, 153, 0.67
3000, 462, 321, 141, 0.69
3600, 462, 327, 135, 0.71
4200, 462, 332, 130, 0.72
4800, 462, 339, 123, 0.73
5400, 462, 367, 95, 0.79
6000, 462, 371, 91, 0.80
6600, 462, 378, 84, 0.82
7200, 462, 382, 80, 0.83
7800, 462, 385, 77, 0.83
8400, 462, 385, 77, 0.83
9000, 462, 387, 75, 0.84
9600, 462, 394, 68, 0.85
10200, 462, 394, 68, 0.85
10800, 462, 394, 68, 0.85
11400, 462, 397, 65, 0.86
12000, 462, 402, 60, 0.87
12600, 462, 402, 60, 0.87
13200, 462, 402, 60, 0.87
13800, 462, 407, 55, 0.88
14400, 462, 407, 55, 0.88
15000, 462, 407, 55, 0.88
15600, 462, 407, 55, 0.88
16200, 462, 407, 55, 0.88
16800, 462, 407, 55, 0.88
17400, 462, 412, 50, 0.89
18000, 462, 414, 48, 0.90
18600, 462, 415, 47, 0.90
19200, 462, 415, 47, 0.90
19800, 462, 415, 47, 0.90
20400, 462, 415, 47, 0.90
21000, 462, 415, 47, 0.90
21600, 462, 416, 46, 0.90
22200, 462, 416, 46, 0.90
22800, 462, 416, 46, 0.90
23400, 462, 417, 45, 0.90
24000, 462, 421, 41, 0.91
24600, 462, 421, 41, 0.91
25200, 462, 421, 41, 0.91
25800, 462, 421, 41, 0.91
26400, 462, 424, 38, 0.92
27000, 462, 430, 32, 0.93
27600, 462, 430, 32, 0.93
28200, 462, 434, 28, 0.94
28800, 462, 434, 28, 0.94
29400, 462, 434, 28, 0.94
30000, 462, 437, 25, 0.95
30600, 462, 437, 25, 0.95
31200, 462, 437, 25, 0.95
31800, 462, 437, 25, 0.95
32400, 462, 437, 25, 0.95
33000, 462, 443, 19, 0.96
33600, 462, 443, 19, 0.96
34200, 462, 445, 17, 0.96
34800, 462, 445, 17, 0.96
35400, 462, 452, 10, 0.98
36000, 462, 452, 10, 0.98
36600, 462, 454, 8, 0.98
37200, 462, 454, 8, 0.98
37800, 462, 456, 6, 0.99
38400, 462, 456, 6, 0.99
39000, 462, 456, 6, 0.99
39600, 462, 456, 6, 0.99
40200, 462, 456, 6, 0.99
40800, 462, 456, 6, 0.99
41400, 462, 456, 6, 0.99
42000, 462, 456, 6, 0.99
42600, 462, 456, 6, 0.99
43200, 462, 456, 6, 0.99
43800, 462, 458, 4, 0.99
44400, 462, 460, 2, 1.00
45000, 462, 460, 2, 1.00
45600, 462, 460, 2, 1.00
46200, 462, 460, 2, 1.00
46800, 462, 460, 2, 1.00
47400, 462, 460, 2, 1.00
48000, 462, 460, 2, 1.00
48600, 462, 462, 0, 1.00
49200, 462, 462, 0, 1.00
49800, 462, 462, 0, 1.00
50400, 462, 462, 0, 1.00
51000, 462, 462, 0, 1.00
51600, 462, 462, 0, 1.00
52200, 462, 462, 0, 1.00
52800, 462, 462, 0, 1.00
53400, 462, 462, 0, 1.00
