ID, UUID, Time (s), Siblings Left
750, fd6ea922-cdb6-5db5-9a95-86f97742d577, 10800, 36
101, 1e58ebd2-27f8-5fad-9f64-d5b3c20e5c34, 10, 0
134, 28f86647-91d8-5d85-97c2-f8c3ca75ddb1, 30, 0
191, 3b8b6f16-0475-5fa8-bb76-c14e16b3297c, 10, 0
300, 61386a09-f72c-507d-908c-ff4d422b30e2, 10800, 2
309, 64aceef3-5034-574b-a803-f04ad1224d39, 10, 0
668, dc784b39-642f-5af8-b7e7-47a1213b8587, 1010, 0
621, cd8ad737-d4a0-56a8-b643-823aba36c469, 10800, 98
630, d10bd247-d86c-5cc1-b077-56cbd36526b4, 10800, 22
82, 18e5722f-7f68-54d6-a821-637f6657fef9, 10800, 42
160, 3180f3c0-7d75-5013-b7f1-b140d92f9e09, 10800, 98
184, 3a423e1b-5266-5c99-83b2-37c725aacd50, 10800, 2
210, 42e7dcd2-1fc4-53f8-8d7b-0d6df311dc0b, 10, 0
440, 8e8f5af7-861e-5679-a4f4-c419f3ea2d6d, 10800, 4
489, 9f8a1a58-d824-5302-9ef4-78c2310ccb3f, 10, 0
109, 1fd9bcf9-8433-5a63-955a-67e6d023d984, 10800, 98
77, 177d7fb0-989b-598c-9648-883ca9de52f4, 10800, 98
339, 6d7e82f3-a8f3-5313-90b9-67145c1f05ed, 10800, 5
444, 9035a60b-6fd4-5250-9e20-0e2ec24c2c53, 10800, 98
740, fa47e102-9da9-55c7-bc40-3519fdf84c03, 10, 0
749, fcfcad19-fb74-5265-8951-8a0df6f467c7, 10, 0
235, 4d310faf-f983-50fd-8324-9d1c40b912fa, 240, 0
313, 65ebd604-253b-50ea-b62e-f810935a20f6, 10800, 3
546, b2b87457-bf74-5a8b-b027-e09bad6042f0, 220, 0
593, c05dc094-88cb-5b16-a682-61cedcda00e8, 10800, 25
667, dc399259-5f62-592a-8665-64eded33ae14, 10, 0
534, ad4ad710-850c-5516-850c-bad255b02fbd, 10800, 98
550, b4df6121-ca6e-55ab-8067-7b39ec3f4664, 10800, 36
170, 36d4e532-779e-50b2-b6ba-0a5f1703c787, 10, 0
479, 9df41de2-2dfb-5cca-bbe8-113b862bd38d, 10, 0
648, d4e6cc58-2179-5a97-b1b6-2201db1a37f4, 10, 0
692, e4bc2dcb-d8ee-50aa-8e9f-83f23c167184, 10800, 2
525, abb30af4-b999-5f7b-9f7e-d3928a9ab931, 10, 0
613, caf77a7d-8780-52af-b453-22ecf4b6b82c, 10800, 25
721, efbf2b64-1ee1-5a06-a8d0-ec926a8d8fd0, 10800, 18
429, 8b7f5468-3c05-504a-bc4d-1b0313aa1914, 150, 0
636, d28536e4-6054-59db-bf5b-4157a0ad0699, 10, 0
85, 1949f83c-c50f-59d5-b15d-c2cca2992f7c, 10800, 42
168, 3615448f-06da-5f5b-a670-99c16479ca8a, 10800, 2
226, 4aaf6721-fbc5-55ad-a0d5-e3a11698b50a, 120, 0
261, 5568ca86-fcd1-5dc3-b4f3-2a2f0f62545d, 10800, 5
391, 80e36c36-8692-5d15-943d-a1c01593f283, 30, 0
410, 862851f6-c790-5b99-b778-87cf3f5b11b1, 10800, 42
673, dd9c1b0c-c990-52f8-be37-e99ed371e1ab, 10800, 98
623, ce2389cd-4757-5680-96b7-ae35872f7139, 170, 0
715, ed551447-a2ad-549e-89ab-d1f7d2226917, 20, 0
173, 37dc8b7c-3839-50db-904c-758164b64954, 10, 0
232, 4bc9d894-27d8-5d43-b14a-72afb12f7489, 10800, 4
239, 4de130ce-0a58-588b-8f99-32cffb13be97, 10800, 42
318, 670a0604-3155-5b21-b35f-0e28ddc43812, 10800, 42
451, 92d6c01f-320e-587e-8704-59de0cd58a4d, 10800, 42
533, ad3c4740-7615-5b96-ba09-774916613959, 10800, 42
737, f93dd649-706b-57d2-afe5-331134a1dc1d, 10800, 22
124, 276a39a2-a25a-565f-a62d-d72058bc876c, 10800, 4
140, 2b9e428d-bf30-5d7a-b81c-2b89ddce08ba, 10, 0
219, 46161d98-8ad0-56b4-a3fa-b30eaca78834, 10800, 3
481, 9e3f0f12-dc46-5388-85ef-1d41eba0daa1, 10800, 25
538, ae793445-2136-55eb-95b2-c2cc330c4d8a, 260, 0
576, bb659ccb-135b-5df0-9329-66e81098676c, 10800, 5
10, 03a297b6-5af3-5d90-a2cf-950b6d900213, 10800, 2
21, 080eb277-63d3-57bd-a9ba-bd04f02ba65b, 10800, 18
353, 71743bbc-e482-5eac-9962-51b979e9489f, 10800, 22
735, f72c655a-7931-5c96-b074-f4a562f402f0, 10, 0
29, 0a7b06ae-b165-5459-91f2-22df3aca3684, 10800, 98
34, 0b83ed35-67fb-5e1f-ab85-06011f1dc2d1, 10, 0
35, 0be8f1d3-86a3-5b35-a929-f049a75986fe, 1300, 0
299, 61041c97-6cea-5bd4-a49f-ee380dac4de1, 10800, 22
359, 72fe8a56-51a7-510a-b4ae-ca79d481cbdb, 310, 0
649, d5539647-a481-5875-a5bc-3e69d3647b88, 7530, 0
16, 0598c249-4d0f-5832-b069-d1c32a509cd1, 10800, 42
83, 18ee1d6b-5306-5560-860f-5eaef2fb8c16, 10800, 25
94, 1ce784a8-dfd9-5bed-a89d-92d29c449c8b, 10800, 14
102, 1e63f9b7-03d9-575c-ae63-c5b3491b681a, 10, 0
167, 35af15c8-2001-527b-a650-0fc8f80d6e42, 10, 0
189, 3b4973c4-80ef-5d35-ae39-fab434591b36, 10800, 3
583, bd6da486-f317-5f41-ac4f-753587148db2, 10800, 22
631, d1b41a85-9984-560c-b1e9-e0d360fda52d, 10800, 98
110, 20886cf3-9538-5999-82e6-a179a0c3e04b, 4610, 0
328, 6977a825-fb1c-5e21-9b93-7d3cbcc726f8, 10800, 14
375, 78ab81bb-295c-515b-a78c-911e26db0e67, 10800, 98
486, 9f3a0035-4de2-5d98-a03a-1b84590a8e82, 10800, 17
487, 9f4e9cb1-7a7b-5140-864a-484b1dae0118, 10, 0
574, bb0f6cb3-4848-5303-baeb-8b5ebf9d1303, 10800, 36
652, d68ef7e0-5404-5743-9999-20499476da83, 10800, 2
685, e135a0f3-5147-5a4d-a9dd-249101c53b0d, 10800, 42
127, 27cd5394-458f-5566-8fe1-dc36856612f5, 10800, 42
136, 2ace9e12-923b-5dc3-a9ff-18184c699daf, 10, 0
262, 55927101-093d-5f89-aff5-4b7c18aa41b7, 10800, 4
394, 82f55c16-a163-5a05-90e3-491e1ae8f12d, 10, 0
674, ddcfe8d8-7f19-55ba-94dc-60513f68ea37, 10800, 2
196, 3c325ff3-ffde-5fc1-b658-c4e476dfc2f6, 10800, 25
273, 5acfdb1f-409f-5649-9e10-8e2e9adb7581, 10800, 17
346, 6fd99d67-7e31-528b-8abe-1d65d73f5f16, 10800, 36
503, a4642166-ecce-5afc-9a38-c2e7987c4c9e, 10800, 42
607, ca592c10-82d8-5a19-8712-3e16116f6146, 10, 0
675, de24c570-777b-5eb7-8a6b-48ac81316e33, 170, 0
601, c42fc835-b255-541e-897b-2ee627188012, 10800, 98
682, e0c0e55e-d36d-5a23-9f66-880c4e0f6751, 10, 0
4, 02110912-d75a-5f9b-b956-5e12813926ef, 10, 0
118, 2544390c-0580-5926-9def-1e970bdc1eff, 10800, 2
233, 4c161ab6-6272-5f61-9aaf-42c0e2f5d571, 10800, 17
329, 69a52db2-69e3-5d63-80b7-7ceaedeb9e2a, 10800, 22
415, 8673d524-3777-55c0-9281-12a0f2181857, 10800, 25
524, ab940aff-d2d8-57c5-8b2c-b784f26aea5e, 10800, 42
654, d6f67f24-6092-57f7-85ea-497f6b700551, 8910, 0
147, 2e45c21a-bea9-505c-9bae-e918736f512d, 180, 0
190, 3b505e1a-3ad9-5eae-bad0-f1b78c8c8b8c, 1920, 0
430, 8b8f53ab-bf88-53f1-b177-480c1ea06cea, 10800, 5
472, 9b4f1dc1-3fde-5d43-9880-cafb7a5dfafb, 10800, 17
513, a7653f02-7af6-5198-8e6a-ac734d4400de, 10800, 98
520, aac67e36-5827-50cb-9ed4-ae0d5fe55355, 10, 0
587, bf3ca8be-a9fa-54f5-8319-6c3e5d6e76ad, 10, 0
602, c4f8391b-04f8-515b-928b-19d7d78ac9b3, 10800, 4
116, 24bfec31-f1ff-5e09-a6d5-a79897f8839a, 10800, 98
256, 52ca8293-cdf8-5991-91ed-c035dd84877b, 10800, 36
321, 67bf9c6f-9ad0-5c58-b31c-3f781cc22847, 10800, 36
332, 6b0cc25e-9688-521c-ada6-7b711da20ff8, 10, 0
347, 70127be5-aa21-5821-b736-2407045d6585, 10, 0
368, 7740b116-8a7a-514a-a82e-40e21e99c18b, 10800, 98
626, cee3c601-b195-55b6-96d9-090975a6ba6a, 190, 0
723, f07a9c94-412f-5311-a12b-15c6abc15e8d, 10800, 5
724, f1c16874-e332-51bd-901e-6b6b283814c3, 10800, 2
556, b6c71514-9908-51a7-955c-0e21f51d4ac5, 10, 0
570, ba9ac967-e0b4-554f-95e3-24b1e9aada59, 10800, 98
74, 15ae83bc-7f0a-5227-a4c5-f7a7176621dd, 10800, 98
111, 20dbd4ec-74a5-5cfa-b99b-c75358487eb9, 600, 0
174, 383cfe88-190b-5d82-8d73-ec826e2a51d5, 10, 0
242, 4f4bbddf-695d-5dab-ab2f-6795fbe59695, 10800, 18
315, 661d6c9d-ddaa-5b84-bd0e-11cfd7dcd2b1, 210, 0
547, b2d64333-c5c8-5266-9bfe-937a3ff5ca92, 10, 0
495, a13b3ae3-a4df-542c-8ce3-16c428305c45, 10, 0
582, bd5a32ce-eb19-5f82-97a8-4d0f81ad6201, 10800, 42
98, 1d29f6d7-0d4e-5302-bcf2-63cb47af533b, 10, 0
263, 55c37ab8-1842-52d7-83b9-f9689893afd0, 10800, 98
363, 746890b8-ceed-5b3a-9edf-279cc5e8d56f, 10, 0
383, 7b307dcb-691d-5a0b-836c-7584ff4f8d80, 10800, 2
426, 89d6d887-df8f-5c7a-8b51-677d3b92c13f, 10800, 4
445, 90ba3595-4363-5175-a908-c34f91f4e06f, 10, 0
720, ef6e5b8c-81ac-5266-9c39-060e40206ba5, 10800, 2
150, 2f5232b9-588f-5aa8-8bad-94302835a581, 10800, 2
205, 3f9f54aa-45fb-5257-a829-b13998ba5008, 10800, 25
317, 669ad0f2-37d9-584c-9e18-6f00e57c6278, 20, 0
434, 8d30568e-5b69-53a5-bc52-f47ba0ec6ccd, 10800, 14
726, f289c092-fbc1-5886-9cf4-b5e01611921b, 20, 0
408, 85b4d787-7989-5d68-9aab-cd9dbec9b6d9, 10800, 3
455, 94651338-a24e-556a-a726-7296e4c1e8de, 10800, 98
42, 0db02e2c-6bec-5aa4-9b83-e7daa17536ba, 10, 0
155, 2ff2d31d-edf1-5f20-b56b-a22f56f8ace0, 250, 0
157, 31066527-b08c-555f-a520-518193fc52a9, 10800, 2
240, 4ea36b36-df60-5edc-9b03-ec3704b524e1, 10, 0
270, 57e3b775-bcf7-554e-8a90-8426ffe980fd, 10, 0
335, 6c3eb239-36a3-5023-90ad-01f6fa24e4a9, 10800, 36
488, 9f7b9527-ab9d-57d3-83af-34809d16f171, 10800, 22
541, b018b243-79dd-574b-917e-695026096160, 170, 0
577, bbaa5d96-e6e9-5706-9809-94a7601f1fa7, 10800, 36
609, ca68430b-3175-53c1-b1d1-3c40db5b5a93, 10800, 98
659, d8e5d367-2083-53a0-94b8-d6f1286a76b2, 10800, 4
348, 702b08e1-95a5-5a85-adcb-bbb0014eb0f3, 10800, 22
464, 96921280-ca0c-52eb-bf88-b09a3fe6017e, 10800, 98
610, ca9367d7-df8d-55ef-a87d-547257baeadb, 10800, 36
727, f28c49ba-67bd-595d-9063-36d2d148ee3b, 10800, 3
14, 04d36032-ff91-5212-b690-eec2593ece31, 10, 0
96, 1d17871a-6bac-51c4-bfd1-53d1c57959cd, 10800, 2
165, 343ddad2-ef08-543e-832d-d9df0a326ea4, 10800, 4
454, 936e9c88-af2f-5a59-bf6f-28923d33f98c, 10, 0
484, 9ee672c0-c119-571c-b457-2720c7c73f8a, 200, 0
51, 0f5e0bec-3e85-561b-9119-a3cdac0644fc, 10, 0
65, 13948494-ae9b-5829-a7cf-61c08ffa681d, 10800, 14
95, 1d15919b-b738-5919-a43a-2b79df9a1a2c, 10800, 98
264, 55edc102-c487-55e8-9ab7-08c0ee2c59a4, 10, 0
298, 6076233b-ad63-5a45-889b-d06bfa191a5b, 30, 0
314, 661b1345-76fd-59a5-9afb-3245026c326d, 10800, 18
669, dc8c3a53-bb67-50dc-9916-2c654a3ac97f, 140, 0
683, e1089ee5-f191-5d13-9ee7-080af7dcbfc3, 10, 0
739, f9ebf78a-f787-5266-9644-08fb717ac60f, 10, 0
60, 11170b55-0ab1-5760-b659-41e1962b6bb3, 10800, 98
112, 219b4380-923b-56d1-b3bc-32cde342d917, 140, 0
221, 474d6df8-5121-5120-9b88-a4bcdcc7c99f, 10800, 2
254, 51d8b8b4-2eb1-5ad8-be4f-469c21e93290, 10800, 4
480, 9e19932c-4693-5c5f-9a93-757efbbc008a, 10, 0
718, ef1acb7e-2ed6-5eb0-a958-2782995824cd, 10, 0
729, f4a818c3-6a0e-5a53-b41a-60b83548306b, 250, 0
80, 18b905b7-54c0-506e-b440-fabe1dfc9bb3, 10800, 98
151, 2f53382c-41ff-54a3-a6b2-32def71a1cd5, 10, 0
280, 5d158dde-9883-54d9-b6d7-7525eb76f00e, 10800, 98
343, 6f12a313-4a81-5bfd-aae5-f8f8b2df54fa, 10, 0
497, a29d14df-63b6-5da4-8dca-6e63f2c41f17, 230, 0
505, a511adae-dcec-5e3e-a833-62bc20242d09, 10800, 18
482, 9e63679d-59f1-572f-aab3-43ffeb34bc42, 10800, 36
640, d2e9ea6e-e08e-5d02-8c4e-0d776d908b11, 10800, 14
12, 04180670-3958-59c4-b67c-a90d624d3c01, 10, 0
