ID, UUID, Time (s), Siblings Left
293, 600cbb3f-c9b6-5447-aa54-2c20ffa551ac, 10, 0
361, 734dbbb6-e9e7-5918-9d95-b1f5228cf9d1, 21600, 4
638, d2ab0301-88e8-5c04-9dbb-7d594735d8a8, 21600, 2
647, d4d8b818-f666-5ab1-9e2b-126c636f125a, 150, 0
680, dfab5bf7-3be6-5b40-8bfa-2eb72c9261fc, 21600, 22
517, aa7b8998-bbac-57db-a116-a3ddcbe840ba, 21600, 6
37, 0c242280-c2b5-5070-9752-f38ac1677e7e, 10, 0
353, 71743bbc-e482-5eac-9962-51b979e9489f, 21600, 22
557, b7370c95-581a-5fda-9122-21fc69df688c, 640, 0
68, 13eeae97-c894-55fd-a035-5fa2202dedc0, 10, 0
78, 18381572-b52b-51fc-a48a-c32c235a0af3, 21600, 3
126, 277df2d3-39ee-59b9-9576-0ffa954b58b9, 21600, 98
392, 816cf899-e4a2-5d23-9f3e-0a056814aac1, 21600, 42
428, 8b7db100-5fbd-5ee2-a7b0-e005ef736669, 10, 0
439, 8e642699-aecc-5de6-9ee9-f2016a3e70d7, 410, 0
636, d28536e4-6054-59db-bf5b-4157a0ad0699, 10, 0
6, 027c3d70-66a1-5a75-bc2d-1766c8bfbe0d, 21600, 98
65, 13948494-ae9b-5829-a7cf-61c08ffa681d, 21600, 14
138, 2b115108-228e-5a82-bc46-50d4b205e9dd, 21600, 2
313, 65ebd604-253b-50ea-b62e-f810935a20f6, 21600, 3
522, ab586154-ffeb-52af-ac83-6d0091f4e870, 10, 0
51, 0f5e0bec-3e85-561b-9119-a3cdac0644fc, 10, 0
134, 28f86647-91d8-5d85-97c2-f8c3ca75ddb1, 10, 0
150, 2f5232b9-588f-5aa8-8bad-94302835a581, 21600, 2
189, 3b4973c4-80ef-5d35-ae39-fab434591b36, 21600, 3
194, 3c00fbfb-6420-5dbc-89e4-a85afb02c45a, 390, 0
464, 96921280-ca0c-52eb-bf88-b09a3fe6017e, 21600, 98
506, a547eb72-ebe9-538e-9803-8b02d6ad1cb1, 21600, 17
12, 04180670-3958-59c4-b67c-a90d624d3c01, 10, 0
198, 3d096a57-3a1b-5b3d-9cf2-626813d4f83b, 50, 0
606, c868228f-9a4a-5448-82c1-298f0b5bb06a, 21600, 98
69, 14145694-b179-527c-8fd8-f0c11715fe7c, 150, 0
153, 2f90b86f-79c3-5bbe-b845-2f8a26d8cfda, 21600, 36
155, 2ff2d31d-edf1-5f20-b56b-a22f56f8ace0, 250, 0
